danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_id,track_name,track_source_playlist,track_artists_id,track_artists_name,track_artists_followers,track_artists_popularity,release_date,release_date_precision,popularity,generated_timestamp
0.901,0.673,8,-6.044,1,0.139,0.288,0.0,0.211,0.337,110.033,178909,4,5ullZhL8qA5830FTyU9V6V,Steamy,6Jq0QdwB0vk7VPcIqpo4pr,3iWwLfjZAKzmAB57v38i45,Raskality,5723,15,2021-02-12,day,1,2024-01-08
0.548,0.611,7,-6.011,1,0.0703,0.00458,0.0,0.0743,0.159,129.192,181812,5,105CUaZAGndOQzBpMLD30N,Anatomy,6Jq0QdwB0vk7VPcIqpo4pr,3UwGbC4Sl9MmonrpWo6grS,Boy Boy,29068,41,2021-02-08,day,17,2024-01-08
0.766,0.825,0,-4.064,1,0.21,0.0796,0.0,0.41,0.55,88.017,198610,4,3oCkLkZiQWPn5f7ubV4OgW,Bad Style,6Jq0QdwB0vk7VPcIqpo4pr,"637ZCX3cypzBoKWaRvmIGV,6QJrx4J9XqIxXUBhacoJHC","Donpert,Medz Boss","17,34233","0,27",2019-11-27,day,2,2024-01-08
0.56,0.803,0,-3.505,1,0.12,0.0024,3.71e-05,0.132,0.792,120.254,176667,5,5cpk3jx5V3loZIwe3D6wjV,Easy II Love,6Jq0QdwB0vk7VPcIqpo4pr,"7KyDUKtDsgx2cXDCaywYWH,4WJfEOdZi5RHn0iBaqaR8G","Jadel,Prince Swanny","1307,0","19,0",2021-02-19,day,0,2024-01-08
0.483,0.481,5,-8.333,1,0.309,0.257,0.0,0.152,0.591,72.318,175200,3,7j7w9eIYqyagxMCB6yTCJe,Trust No One,6Jq0QdwB0vk7VPcIqpo4pr,"5mVdf7szMepaFfSec6lwcG,11ppP1jeJcAGeXHJjLgQcE","Zayah Dan Productions,Kyler","8,589","0,5",2021-02-12,day,0,2024-01-08
0.625,0.571,9,-10.9,0,0.485,0.0397,0.0,0.158,0.529,73.12,215808,3,0AqeFjpHJDbjs86OEms4MQ,Play,6Jq0QdwB0vk7VPcIqpo4pr,"5mVdf7szMepaFfSec6lwcG,11ppP1jeJcAGeXHJjLgQcE","Zayah Dan Productions,Kyler","8,589","0,5",2021-02-12,day,0,2024-01-08
0.691,0.666,0,-8.354,0,0.0658,0.734,0.0,0.141,0.711,97.057,183171,4,5OEvg2qC5nGbOcoMeFmVw7,Sold Out,6Jq0QdwB0vk7VPcIqpo4pr,2kNL5eBpFCpOQu81GJ4lZb,Jovi Ton,3954,4,2021-02-17,day,0,2024-01-08
0.597,0.548,9,-10.496,0,0.331,0.187,0.0,0.0999,0.511,131.975,252192,5,6N1gkVIzcWg6RAGIUdhLHu,Cyah Frighten We,6Jq0QdwB0vk7VPcIqpo4pr,58GP6t4N8aiJkHTOM41ECz,Plumpy Boss,21328,31,2021-02-15,day,13,2024-01-08
0.394,0.704,9,-8.31,0,0.242,0.122,0.0,0.104,0.352,168.021,211084,4,6JPts5ibuxABerxTk6tDZK,Entanglement,6Jq0QdwB0vk7VPcIqpo4pr,2Jv0w50BNaGlwnXpq69HGm,Prince Swanny,112646,43,2021-02-19,day,28,2024-01-08
0.534,0.461,4,-13.357,0,0.274,0.739,7.46e-05,0.278,0.601,103.051,180094,4,1RQJUypbVUK44kgEaftgF3,Tattoo - Freestyle,6Jq0QdwB0vk7VPcIqpo4pr,0Mr9fQ8yPc2T8YGPxQWTVx,Yvng Nene,12,0,2020-05-01,day,0,2024-01-08
0.625,0.838,5,-3.347,1,0.436,0.298,0.0,0.134,0.745,138.802,230264,5,2k6gOLcbiLGGSOIglgnp59,Bad Gyal,6Jq0QdwB0vk7VPcIqpo4pr,5slhysoEJ05kVNc173rOJU,K Lion,2585,5,2019-05-01,day,20,2024-01-08
0.647,0.671,9,-5.272,1,0.415,0.546,0.0,0.118,0.567,77.177,217874,4,3oDyw74RVPQ7Ir2KTyIrWS,Guide Me,6Jq0QdwB0vk7VPcIqpo4pr,5slhysoEJ05kVNc173rOJU,K Lion,2585,5,2019-06-10,day,6,2024-01-08
0.607,0.552,8,-10.197,0,0.469,0.792,0.000362,0.122,0.433,129.724,178129,5,0Oj2n84jlOBj4GcHnPwIEU,Letter From My Heart,6Jq0QdwB0vk7VPcIqpo4pr,6gwPuGtckUClFDH3aEMtf9,Rebel 6,1435,4,2019-10-02,day,21,2024-01-08
0.8,0.492,0,-11.621,0,0.0986,0.646,0.0,0.181,0.802,89.979,171807,4,5Ttig9GHWIRO6AaIy9mSvt,City Lights,6Jq0QdwB0vk7VPcIqpo4pr,6gwPuGtckUClFDH3aEMtf9,Rebel 6,1435,4,2019-10-11,day,3,2024-01-08
0.598,0.666,1,-6.112,0,0.183,0.295,0.0,0.126,0.422,94.037,187021,4,1rUsIaqu0OGanLtfClZoRp,Nah Lie,6Jq0QdwB0vk7VPcIqpo4pr,7tnzhcb2y0dtPFIFVTp0A4,Tafari,26094,22,2021-02-23,day,6,2024-01-08
0.801,0.538,0,-5.353,1,0.205,0.344,1.09e-05,0.141,0.201,131.845,152726,5,5SQb41eMD6kw8a5ATUsOOk,Enough Madness,6Jq0QdwB0vk7VPcIqpo4pr,3rrQQTcOU4VAkdOCieyj2r,M Vik,19,0,2021-02-22,day,0,2024-01-08
